epoch,loss,mean_absolute_error,mean_absolute_percentage_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_root_mean_squared_error
0,0.0034380070865154266,0.039962511509656906,46.477176666259766,0.058634523302316666,0.00306033156812191,0.04259006679058075,43.93463897705078,0.05532026290893555
1,0.001773253083229065,0.03146572411060333,37.25914764404297,0.04211001098155975,0.0017178268171846867,0.02835647016763687,33.68893814086914,0.04144667461514473
2,0.0018697429914027452,0.032192450016736984,46.78205108642578,0.04324052482843399,0.0023728199303150177,0.035745471715927124,40.22046661376953,0.04871160164475441
3,0.0018408974865451455,0.03176037594676018,46.955772399902344,0.04290568083524704,0.0014280861942097545,0.024101603776216507,27.529584884643555,0.037790026515722275
4,0.0017538601532578468,0.030967343598604202,42.14252853393555,0.041879113763570786,0.0023672766983509064,0.03331451490521431,29.417316436767578,0.048654668033123016
5,0.0019218591041862965,0.03256459906697273,35.59085464477539,0.04383901134133339,0.002457541413605213,0.03672947362065315,31.59775733947754,0.04957359656691551
6,0.0018185654189437628,0.03153816610574722,39.987403869628906,0.04264464229345322,0.0025223002303391695,0.035340022295713425,36.3018798828125,0.05022250860929489
7,0.0018715831683948636,0.032090310007333755,41.3541259765625,0.04326179623603821,0.00288312416523695,0.03856886550784111,28.38997459411621,0.05369473248720169
8,0.0017770979320630431,0.031070921570062637,44.7769889831543,0.042155638337135315,0.002408838365226984,0.03552781790494919,56.88619613647461,0.04907992109656334
9,0.0017107586609199643,0.03030375763773918,37.273529052734375,0.04136132076382637,0.001376537373289466,0.02321752905845642,24.446937561035156,0.03710171580314636
10,0.001495918957516551,0.028219422325491905,27.208078384399414,0.03867711126804352,0.0022842856124043465,0.035064391791820526,43.84345626831055,0.04779420047998428
11,0.0013813546393066645,0.02704673260450363,30.384113311767578,0.03716658055782318,0.0017195286927744746,0.02879554219543934,23.592464447021484,0.041467200964689255
12,0.0013567311689257622,0.026716720312833786,36.26045227050781,0.036833833903074265,0.0017782166833058,0.030449775978922844,26.90427589416504,0.042168907821178436
13,0.0013790815137326717,0.02702338621020317,32.612247467041016,0.03713598847389221,0.0016299767885357141,0.02682732418179512,25.80252456665039,0.04037297144532204
