Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-10-03,49.50818381951449,49.50818381951449,48.3756436667805,48.666866302490234,33980832,0.0,0
2011-10-04,48.40800024387427,48.99044547091998,47.30781550254635,47.8255500793457,25776796,0.0,0
2011-10-06,49.34638577196971,49.63760836874568,48.53742862816692,49.378746032714844,38669324,0.0,0
2011-10-07,49.10370891591578,49.3463961098989,46.95188443759232,47.69612121582031,47671504,0.0,0
2011-10-10,47.69611093171262,47.69611093171262,46.66064678147875,47.372528076171875,20862485,0.0,0
2011-10-11,48.31091783489348,48.53742482993675,46.95187092715169,47.50196075439453,28345014,0.0,0
2011-10-12,47.922628896571865,48.21385152812432,46.98423553521244,47.27546310424805,24347043,0.0,0
2011-10-13,47.69610749122497,47.728467749437804,46.75771925283907,47.50196075439453,26882956,0.0,0
2011-10-14,48.407996730340884,49.119878018658326,47.89026219111957,48.796295166015625,27279494,0.0,0
2011-10-17,49.18459682990393,49.378748529225625,48.21384820826109,49.216957092285156,18511098,0.0,0
2011-10-18,48.73158971846017,48.82866064445636,48.18149480456968,48.63451385498047,17865305,0.0,0
2011-10-19,48.63450483553499,49.37874640087907,48.440353144581714,49.31402587890625,12814304,0.0,0
2011-10-20,49.02280927892539,49.11988513628129,48.5374349296291,48.69922637939453,10127708,0.0,0
2011-10-21,48.95808565084831,48.95808565084831,47.59903868338063,48.2462043762207,11962435,0.0,0
2011-10-24,49.60525304548311,49.60525304548311,48.925727069695746,49.378746032714844,12243680,0.0,0
2011-10-25,49.378741819551706,49.50817297652362,48.56978474477191,49.249305725097656,14727348,0.0,0
2011-10-26,49.216954603954285,49.60525304548311,48.666859796182344,49.378746032714844,15241711,0.0,0
2011-10-27,48.95808315316978,49.443457398037665,48.66685564375977,49.249305725097656,25659984,0.0,0
2011-10-28,49.831763064635226,49.831763064635226,47.95498139028875,48.3109245300293,42707279,0.0,0
